alim_nom_fr,alim_code,kcal,proteins,carbohydrates,lipids,alim_nom_eng,kcal_control
Soupe aux poireaux et pommes de terre; préemballée à réchauffer,25907,37.1,0.79,4.46,1.51,Soup; leek and potato; prepacked; to be reheated,37.1
Soupe à la volaille et aux vermicelles; préemballée à réchauffer,25908,30.8,1.3,3.86,1,Soup; chicken and vermicelli; prepacked; to be reheated,30.8
Bouillon de viande et légumes type pot-au-feu; prêt à consommer,25909,4.8,0.2,0.1,0.4,Broth; stock or bouillon; meat and vegetables; dehydrated and reconstituted,4.8
Soupe à l'oignon; préemballée à réchauffer,25910,40.4,1.35,4.93,1.4,Soup; onions; prepacked; to be reheated,40.4
Soupe aux champignons; préemballée à réchauffer,25912,48.2,0.81,4.09,3.07,Soup; mushrooms; prepacked; to be reheated,48.2
Soupe à la carotte; préemballée à réchauffer,25913,33.2,0.61,3.89,1.41,Soup; carrots; prepacked; to be reheated,33.2
Soupe à la tomate; préemballée à réchauffer,25914,38.7,0.74,6.27,0.99,Soup; tomatoes; prepacked; to be reheated,38.7
Soupe chorba frik; à base de viande et de frik,25915,62.9,3.75,5.4,2.5,Soup; chorba frik; w meat and frik,62.9
Soupe minestrone; préemballée à réchauffer,25916,48.8,1.2,5.6,2,Soup; minestrone; prepacked; to be reheated,48.8
Soupe au pistou; déshydratée reconstituée,25917,30.4,1.2,5.2,0.35,Soup; pistou (basil; garlic and olive oil); dehydrated and reconstituted,30.4
Soupe de poissons et / ou crustacés; déshydratée reconstituée,25919,29,0.91,5.09,0.5,Soup; fish and/or crustacean; dehydrated and reconstituted,29
Soupe asiatique; avec pâtes; déshydratée reconstituée,25923,29.8,0.97,5.25,0.44,Soup; Asian-style with noodles; dehydrated and reconstituted,29.8
Soupe marocaine; déshydratée reconstituée,25924,34.3,1.2,5.77,0.55,Soup; Moroccan; dehydrated and reconstituted,34.3
Soupe aux poireaux et pommes de terre; déshydratée reconstituée,25925,26.1,0.63,4.84,0.41,Soup; leek and potato; dehydrated and reconstituted,26.1
Soupe à la volaille et aux légumes; déshydratée reconstituée,25928,27.3,0.99,4.58,0.44,Soup; chicken and vegetables; dehydrated and reconstituted,27.3
Bouillon de boeuf; déshydraté reconstitué,25930,9.05,0.6,1.33,0.15,Broth; stock or bouillon; beef; dehydrated and reconstituted,9.05
Soupe aux asperges; déshydratée reconstituée,25932,35.3,0.6,5.14,1.31,Soup; asparagus; dehydrated and reconstituted,35.3
Soupe à la tomate et aux vermicelles; préemballée à réchauffer,25933,37.7,1.1,5.87,0.8,Soup; tomatoes and vermicelli; prepacked; to be reheated,37.7
Soupe aux céréales et aux légumes; déshydratée reconstituée,25934,47.8,1.4,6.8,1.4,Soup; cereals and vegetables; dehydrated and reconstituted,47.8
Soupe à la tomate; déshydratée reconstituée,25935,36.2,0.76,5.79,0.97,Soup; tomatoes; dehydrated and reconstituted,36.2
Soupe aux champignons; déshydratée reconstituée,25936,37.8,0.65,4.37,1.79,Soup; mushrooms; dehydrated and reconstituted,37.8
Soupe à l'oignon; déshydratée reconstituée,25942,24,0.58,4.37,0.4,Soup; onions; dehydrated and reconstituted,24
Soupe au potiron; préemballée à réchauffer,25945,35.9,0.67,4.13,1.56,Soup; pumpkin; prepacked; to be reheated,35.9
Bouillon de volaille; déshydraté reconstitué,25947,5.58,0.6,0.5,0.13,Broth; stock or bouillon; poultry; dehydrated and reconstituted,5.58
Bouillon de légumes; déshydraté reconstitué,25948,5.38,0.34,0.65,0.16,Broth; stock or bouillon; vegetables; dehydrated and reconstituted,5.38
Soupe à la tomate et aux vermicelles; déshydratée reconstituée,25949,21.6,0.63,4.21,0.18,Soup; tomato and vermicelli; dehydrated and reconstituted,21.6
Soupe à la volaille et aux vermicelles; déshydratée reconstituée,25950,21.3,0.75,3.87,0.25,Soup; chicken and vermicelli; dehydrated and reconstituted,21.3
Soupe au pistou; préemballée à réchauffer,25953,31.9,2,4.1,0.5,Soup; pistou (basil; garlic and olive oil); prepacked; to be reheated,31.9
Soupe au potiron; déshydratée reconstituée,25954,38.3,0.79,5.61,1.24,Soup; pumpkin; dehydrated and reconstituted,38.3
Soupe asiatique; avec pâtes; préemballée à réchauffer,25955,22.3,0.7,3.4,0.5,Soup; Asian-style with noodles; prepacked; to be reheated,22.3
Soupe minestrone; déshydratée reconstituée,25956,31.3,1.14,5.53,0.34,Soup; minestrone; dehydrated and reconstituted,31.3
Soupe au cresson; déshydratée reconstituée,25957,25.1,0.42,3.95,0.8,Soup; watercress; dehydrated and reconstituted,25.1
Soupe au cresson; préemballée à réchauffer,25958,34,1,5.4,0.8,Soup; watercress; prepacked; to be reheated,34
Soupe aux légumes avec fromage; préemballée à réchauffer,25962,50.2,1.34,5.09,2.51,Soup; vegetables with cheese; prepacked; to be reheated,50.2
Soupe aux légumes verts; préemballée à réchauffer,25963,33.4,1,3.84,1.32,Soup; green vegetables; prepacked; to be reheated,33.4
Soupe aux légumes verts; déshydratée reconstituée,25964,34.8,0.72,5.31,1.07,Soup; green vegetables; dehydrated and reconstituted,34.8
Soupe aux pois cassés; préemballée à réchauffer,25965,56.7,2.68,6.25,1.98,Soup; split peas; prepacked; to be reheated,56.7
Soupe froide type Gaspacho ou Gazpacho; préemballée,25967,32.8,0.65,3.38,1.62,Soup; gazpacho; cold; prepacked,32.8
Soupe aux asperges; préemballée à réchauffer,25968,133,4.6,4.7,10.4,Soup; asparagus; prepacked; to be reheated,133
Soupe (aliment moyen),25969,37.4,1.27,4.5,1.37,Soup (average),37.4
Soupe miso; déshydratée reconstituée,25972,17.1,1.38,2.18,0,Miso soup; dehydrated; reconstituted,17.1
Tripes à la mode de Caen,8601,116,20.4,0.3,3.68,Caen-style tripe,116
Tripes à la mode de Caen; préemballées,8602,112,18.4,0.7,3.62,Caen-style tripe; prepacked,112
Tripes à la tomate ou à la provençale,8612,94.1,15.7,0.6,3.2,Provencal-type tripe (with tomato),94.1
Blanquette de veau,25001,113,15.4,3.1,4,Veal stew in white sauce,113
Boeuf bourguignon,25033,84.6,8.93,4.17,3.3,Burgundy-style beef stew,84.6
Sauté d'agneau au curry; préemballé,25035,0,10.5,0,13.9,Sauté of lamb w curry; prepacked,167.10000000000002
Canard en sauce (poivre vert; chasseur; etc.); préemballé,25058,145,9.55,10.2,7.3,Duck with sauce (green pepper sauce; hunter-style sauce;etc.) ; prepacked,145
Lapin à la moutarde; préemballé,25063,108,14.9,0.5,5,Rabbit with mustard sauce; prepacked,108
Coq au vin,25121,133,13,4,7,Cockerel in red wine sauce,133
Paupiette de veau,25125,193,14.5,2.6,13.8,Veal olive or veal paupiette,193
Paupiette de volaille,25126,164,23.9,8.8,3.4,Poultry paupiette,164
Viande en sauce (aliment moyen),25172,104,11.3,3.65,4.6,Meat in sauce (average),104
Poulet au curry et au lait de coco,25174,124,10.6,3.15,6.9,Chicken with curry and coconut milk sauce,124
Meloukhia; plat à base de boeuf et corete; fait maison,25175,189,10.6,1.2,14.7,Molokhia; jute and beef-based meal; home-made,189
Palette à la diable; préemballée,25200,120,13.5,2.08,6.07,Devilled pork shoulder in mustard sauce; prepacked,120
Langue de boeuf sauce madère; préemballée,25201,180,9.5,4.5,13.5,Beef tongue with Madeira wine sauce; prepacked,180
Porc au caramel; préemballé,25207,136,10,11.4,5.4,Pork with caramel sauce; prepacked,136
Boulettes au boeuf; à la sauce tomate; préemballées,25211,117,9,5.5,6.5,Meat balls; beef; with tomato sauce; prepacked,117
Paupiette de veau; préemballée;  cuite au four,25213,276,22,0.48,20.5,Veal paupiette; prepacked; cooked in oven,276
Carpaccio de boeuf; avec marinade,25538,271,15.2,0.55,23,Beef carpaccio; w marinade,271
Yakitori (brochettes japonaises grillées en sauce),25565,172,26,9.3,3.3,Yakitori (grilled meat on skewers; Japanese-style; with sauce),172
Brochette de boeuf; cuite,25585,139,21.9,0.33,5.2,Beef on skewer; with vegetables (onion; sweet pepper…); cooked,139
Brochette de volaille; cuite,25586,137,23.1,1.39,4,Poultry on skewer; with vegetables (onion; sweet pepper…); cooked,137
Hachis parmentier à la viande; préemballé,25009,138,5.99,9.39,8.22,Shepherd's pie or cottage pie with meat; prepacked,138
Couscous au mouton,25029,149,8.31,12.2,7.2,Couscous w mutton,149
Couscous à la viande ou au poulet; préemballé; allégé,25043,90.7,5.9,11.5,1.9,Couscous with meat or chicken; light; prepacked,90.7
Poêlée de pommes de terre préfrites; lardons ou poulet; et autres; sans légumes verts; préemballée,25057,168,3.2,16.2,9.6,Pre-fried potatoes; pan-fried; lardoons or chicken; and other; without green vegetables; prepacked,168
Couscous royal (avec plusieurs viandes); préemballé,25127,132,7.69,14,4.53,Couscous royal (with different meats); prepacked,132
Couscous au poulet,25138,130,7.5,15.6,3.85,Couscous w chicken,130
Couscous à la viande; préemballé,25152,128,7.59,12.5,4.73,Couscous w meat; prepacked,128
Parmentier de canard; préemballé,25195,146,6.82,8.51,9.06,Shepherd's pie with duck; prepacked,146
Parmentier de canard; préemballé; cuit,25587,168,7,10.5,10.2,Shepherd's pie with duck; prepacked; cooked,168
Cassoulet; appertisé,25002,129,8.06,9.41,5.77,White bean stew; canned,129
Choucroute garnie; préemballée,25003,109,5.06,2.8,8.06,Sauerkraut; with garnish; prepacked,109
Petit salé ou saucisse aux lentilles; préemballé,25010,118,8.24,8.89,4.87,Salt-cured pork belly with lentils; prepacked,118
Pot-au-feu; préemballé,25013,77.5,10.9,3.2,2.02,Boiled meat with vegetables; prepacked,77.5
Boeuf aux carottes,25065,96.6,13.2,3.3,3.15,Beef stew with carrots,96.6
Potée auvergnate (chou et porc),25071,82.1,6,3.7,4.3,Pork sausage stew with cabbage; carrots and potatoes,82.1
Cassoulet au porc; appertisé,25098,132,8.3,8.6,6.3,White bean stew; with pork; canned,132
Cassoulet au canard ou oie; appertisé,25099,161,10.5,10.1,7.86,White bean stew; with duck or goose; canned,161
Tomate farcie,25103,122,5.49,2,9.67,Stuffed tomatoes,122
Chou farci; préemballé,25106,94.9,5.3,2,6.6,Stuffed cabbage; prepacked,94.9
Chili con carne; préemballé,25111,118,7.13,13,3.35,Chili con carne; prepacked,118
Moussaka,25123,147,5.82,5.16,10.8,Moussaka,147
Navarin d'agneau aux légumes,25124,133,8.05,5,8.61,Stewed lamb garnished with potatoes and other vegetables,133
Tajine de mouton,25159,132,12.8,4.5,6.83,Mutton tagine,132
Osso buco,25164,96.7,11.2,3.5,4.08,Osso buco,96.7
Poulet basquaise; préemballé,25190,107,9.3,2.5,6.4,Chicken; Basque style; prepacked,107
Tajine de poulet; préemballé,25204,127,7.54,14.4,3.7,Chicken tagine; prepacked,127
Chop suey (porc ou poulet); préemballé,25205,78.2,5,7.8,3,Chop suey (pork or chicken); prepacked,78.2
Légumes farcis (sauf tomate),25511,69.8,6.4,3.6,3,Stuffed vegetables (excluding tomato),69.8
Moules marinières (oignons et vin blanc),10082,92,10.3,7.43,2.24,Mussels; in a shallot and white wine broth,92
Moules farcies (matière grasse; persillade…); préemballées; crues,10083,284,9.56,4.43,24.8,Mussels; filled (fat; parsley and garlic…); prepacked,284
Gratin ou cassolette de poisson et / ou fruits de mer;  préemballé; cru,25037,105,6.13,8.39,5.1,Fish or seafood au gratin; intended to be cook; prepacked,105
Gratin ou cassolette de poisson et / ou fruits de mer; préemballé; cuit,25038,117,6.69,5.28,7.5,Fish and shrimp 'au gratin'; previously frozen; prepacked,117
Saumon à l'oseille; préemballé,25077,133,8.36,7.43,7.65,Salmon with sorrel; prepacked,133
Poisson blanc à la bordelaise; préemballé,25086,176,14.8,5.3,10.4,Fish w bordelaise sauce; prepacked,176
Poisson blanc à la provençale ou niçoise (sauce tomate); préemballé,25128,75.2,9.31,3.1,2.3,White fish with Provencal-style sauce (tomato sauce); prepacked,75.2
Poisson blanc à la florentine (sauce aux épinards); préemballé,25140,100,11.4,2.9,4.35,White fish with Florentine-style sauce (spinach sauce); prepacked,100
Poisson blanc à la marinière (sauce aux oignons; vin blanc; moules); préemballé,25141,80,11.5,2.2,2.8,White fish with shallots; mussels and white wine sauce; prepacked,80
Poisson blanc à la sauce moutarde; préemballé,25142,90.8,9.2,5.4,3.6,White fish with mustard sauce; prepacked,90.8
Poisson blanc à la parisienne (sauce aux champignons); préemballé,25143,79.9,9.16,3,3.25,White fish with Parisian-style sauce (mushrooms sauce); prepacked,79.9
Poisson blanc à l'estragon; préemballé,25145,77.2,8.8,4.2,2.8,White fish with tarragon sauce; prepacked,77.2
Poisson blanc sauce oseille; préemballé,25146,114,11.8,3.9,5.5,White fish with sorrel sauce; prepacked,114
Saumon farci; préemballé,25210,227,18.8,0.4,16.2,Stuffed salmon; prepacked,227
Brochette de poisson,25539,127,18,0.86,5.71,Fish on skewer,127
Brochette de crevettes,25540,93.5,18.5,1.5,1.5,Shrimps on skewer,93.5
Poisson en sauce; surgelé,26054,132,13.3,3.18,7.05,Fish; in sauce; frozen,132
Poisson cuit (aliment moyen),26140,144,23.5,0,5.52,Fish; cooked (average),144
Poisson blanc; cuit (aliment moyen),26249,107,22,0,2.18,Fish; white; without skin; cooked,107
Poisson blanc; de mer; cuit (aliment moyen),26250,106,22.1,0,2,Marine fish; white; without skin; cooked,106
Paëlla,25031,148,7.86,17.1,4.9,Paëlla,148
Couscous au poisson,25107,105,7.5,14.2,1.6,Couscous w fish,105
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson; préemballé,25154,117,6.39,8.57,6.15,Fish brandade or fish shepherd's pie; prepacked,117
Sushi ou Maki aux produits de la mer,25456,171,6.69,26.9,3.7,Sushi or maki with seafood products,171
Terrine ou mousse de légumes,8296,0,4.05,5.6,9.56,Vegetable terrine or mousse,124.64
Flan de légumes,8297,0,5.38,4.13,18.6,Vegetable flan,205.44
Haricots blancs à la sauce tomate; appertisés,20194,0,4.67,10.1,0.4,Haricot beans with tomato sauce; canned,62.68
Piperade basquaise; préemballée,20240,0,1.1,6.5,3.8,Piperade; Basque-style (fondue of sweet peppers and tomatoes flavoured with onions and garlic); prepacked,64.6
Poêlée de légumes assaisonnés sans champignon; surgelée; crue,20262,81.2,2.6,12.1,1.77,Vegetables pan-fried without mushrooms; frozen; raw,81.2
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes; surgelée; crue,20273,0,3.13,5.83,3.93,Vegetables pan-fried or stir-fried; Asian-style; frozen; raw,71.21000000000001
Poêlée de légumes assaisonnés grillée; méridionale ou méditerranéenne; surgelée; crue,20274,0,1.61,4.33,1.77,Grilled vegetables pan-fried; Mediterranean-style; frozen; raw,39.69
"Poêlée de légumes assaisonnés aux champignons (""champêtre""); surgelée",20498,0,1.89,3.59,1.21,Vegetables pan-fried with mushrooms (country-style); frozen,32.81
Ratatouille cuisinée; préemballée,25018,0,1.22,4.97,3.15,Ratatouille cooked; prepacked,53.11
Épinards à la crème; préemballés,25026,0,2.5,4.1,2.9,Spinach w cream sauce; prepacked,52.5
Gratin d'aubergine; préemballé,25052,0,1.95,5.45,8.68,Eggplant au gratin; prepacked (oven grilled),107.72
Gratin dauphinois,25056,0,3.38,14.5,4.2,"Dauphiné-style creamed potatoes ""au gratin""",109.32
Endive au jambon,25073,0,7.44,4.71,6.3,Chicory w ham,105.3
Gratin de chou-fleur; préemballé,25101,0,3,3.3,6.5,Cauliflower au gratin (oven grilled); prepacked,83.7
Gratin de légumes,25162,0,3.44,6.91,6.7,Vegetables au gratin (oven grilled),101.7
Riste d'aubergines (aubergines; tomates; oignons); préemballée,25196,0,1.05,10.6,10.4,Riste (Eggplant; tomatoes; onions); prepacked,140.20000000000002
Palet ou galette de légumes; préfrit; surgelé,25199,0,3.29,10.7,5.44,Vegetable rosti; pre-fried; frozen,104.91999999999999
Palet ou galette de légumes; préfrit; surgelé; cuit,25208,0,3.31,8.45,5.7,Vegetable rosti; pre-fried; frozen; cooked,98.34
Choucroute; sans garniture; égouttée; cuite,25220,75.3,1.38,0,6.6,Sauerkraut; without garnish; drained; cooked,75.3
Tomate à la provençale; fait maison,25524,0,1.65,6.55,4.32,Provencal-style tomato (breaded tomatoes stuffed with garlic and parsley); home-made,71.68
Beignet de légumes,25556,0,3.52,23,8.52,Vegetable fritters,182.76
Falafel ou Boulette de pois-chiche et/ou fève; frite,25571,252,8.25,18.7,14.4,Falafel,252
Gratin de légumes en sauce blanche type béchamel; cuit,25588,0,3.64,6.74,6.5,Vegetables au gratin (oven grilled) in bechamel sauce,100.02000000000001
Falafel ou Boulette de pois-chiche et/ou fève; préemballé,25590,211,7.38,17.7,10.8,Falafel; prepacked,211
Blé dur précuit cuisiné; en sachet micro-ondable,9082,188,4.93,29.5,4.84,Durum wheat; pre-cooked; cooked; in a microwaveable bag,188
Blé dur précuit; grains entiers; cuisiné; à poêler,9083,344,11.1,67.2,1.59,Durum wheat pre-cooked; whole grain; cooked; to pan-fry,344
Ravioli à la viande; sauce tomate; appertisé,25019,95.3,4.22,12.5,2.83,Ravioli filled with meat; in tomato sauce; canned,95.3
Lasagnes ou cannelloni à la viande (bolognaise),25081,134,6.29,13.5,5.72,Lasagna or cannelloni with meat (bolognese sauce),134
Pâtes à la bolognaise (spaghetti; tagliatelles…),25085,116,5.32,13.6,4.07,Bolognese-style pasta (spaghetti; tagliatelle…),116
Riz cantonais,25088,164,5.46,23.6,4.94,Cantonese rice,164
Ravioli chinois à la vapeur à la crevette; cuit,25110,190,5.5,27.8,5.5,Dumplings; steamed; with shrimps; cooked,190
Gratin de pâtes,25122,179,7.06,16.4,9.2,Pasta au gratin (oven grilled),179
Lasagnes ou cannellonis aux légumes; préemballées; cuits,25131,103,2.75,11,4.85,Lasagna or cannelloni with vegetables; prepacked,103
Pâtes à la carbonara (spaghetti; tagliatelles…),25135,161,5.91,14.2,8.7,Carbonara-style pasta (spaghetti; tagliatelle…),161
Lasagnes ou cannellonis au poisson; préemballées,25139,148,7.28,13,7.1,Lasagna or cannelloni with fish; prepacked,148
Pâtes fraîches farcies (ex : raviolis; tortellinis; ravioles du Dauphiné); au fromage; cuites,25149,226,10,26.8,8.3,Fresh pasta; stuffed with cheese (e.g. ravioli); cooked,226
Couscous de légumes; préemballé,25150,108,4.32,16.4,2.25,Couscous with vegetables; prepacked,108
Pâtes fraîches farcies (ex : raviolis; tortellinis); au fromage et aux légumes; préemballées; cuites,25155,219,7.94,27.8,7.5,Fresh pasta; stuffed with cheese and vegetables (e.g. ravioli); cooked; prepacked,219
Pâtes fraîches farcies (ex : raviolis; totellinis); à la viande (ex : bolognaise); préemballées; crues,25157,265,11.4,40.3,5.79,Fresh pasta; stuffed with meat (e.g. bolognese-style ravioli); prepacked; raw,265
Pâtes fraîches farcies (ex : raviolis; tortellinis); à la viande (ex : bolognaise); préemballées; cuites,25158,174,6.94,25.1,4.65,Fresh pasta; stuffed with meat (e.g. bolognese-style ravioli); prepacked; cooked,174
Pâtes fraîches farcies (ex : raviolis; tortellinis; ravioles du Dauphiné); au fromage; préemballées; crues,25181,268,11.3,37.3,7.69,Fresh pasta; stuffed with cheese (e.g. ravioli; prepacked; raw,268
Pâtes fraîches farcies (ex : raviolis; tortellinis); au fromage et aux légumes; préemballées; crues,25182,262,9.98,41.4,5.69,Fresh pasta; stuffed with cheese and vegetables (e.g. ravioli); prepacked; raw,262
Nouilles sautées/poêlées aux crevettes,25183,104,4.88,12.6,3.4,Noodles with shrimps sautéed/pan-fried,104
Riz blanc; avec poulet; préemballé; cuit,25184,175,4.23,31.5,3.19,White rice; with chicken; prepacked; cooked,175
Riz blanc; avec légumes et viande; préemballé; cuit,25185,167,4.61,28.3,3.57,White rice; cooked; with vegetables and meat; prepacked,167
Risotto; aux légumes; préemballé,25187,120,2.74,18.4,3.8,Risotto; w vegetables; prepacked,120
Risotto; aux fruits de mer; préemballé,25188,130,5.47,12.5,6.07,Risotto; w seafood; prepacked,130
Risotto; aux fromages; préemballé,25189,195,5.65,30.9,5.16,Risotto; w cheeses; prepacked,195
Raviolis aux légumes; sauce tomate; appertisés,25192,91.1,2.88,13.5,2.45,Ravioli filled with vegetables; in tomato sauce; canned,91.1
Pâtes fraîches farcies (ex : raviolis; tortellinis); aux légumes; préemballées; cuites,25193,156,5.19,20.9,4.9,Fresh pasta; stuffed with vegetables (e.g. ravioli); prepacked; cooked,156
Pâtes en sauce aux fromages (spaghetti; tagliatelles…); préemballées,25198,163,7.17,15.9,7.4,Pasta with cheese sauce (spaghetti; tagliatelle…); prepacked,163
Pâtes fraîches farcies (ex : raviolis; tortellinis); aux légumes; préemballées; crues,25203,255,9.4,41.4,5.06,Fresh pasta; stuffed with vegetables (e.g. ravioli); prepacked; raw,255
Pâtes fraîches farcies (ex : raviolis; tortellinis); cuites (aliment moyen),25216,199,7.98,25.7,6.53,Pasta (e.g. ravioli); filled; cooked,199
Feuille de vigne farcie au riz ou dolmas; égouttée; préemballée,25217,150,2.5,18.6,6.5,Vine leaf stuffed wih rice or dolmas; drained; prepacked,150
Lasagnes ou cannellonis aux légumes; préemballés; cuits,25218,122,4.38,11.8,5.9,Lasagna or cannelloni with vegetables; prepacked; cooked,122
Lasagnes ou cannellonis aux légumes et au fromage de chèvre; préemballés; cuits,25219,179,7,14,10.2,Lasagna or cannelloni with vegetables and goat cheese; prepacked; cooked,179
Lasagnes ou cannellonis au fromage et aux épinards; préemballés,25635,133,6.1,11.4,6.6,Lasagna or cannelloni with goat cheese and spinach; prepacked,133
Aligot (purée de pomme de terre à la tomme fraîche); préemballé,4041,195,8.06,9.5,13.3,Mashed potatoes w fresh tome cheese; prepacked,195
Fromage de chèvre pané à dorer; préemballé,19437,0,12.9,15,19.2,Goat cheese; breaded; to grill; prepacked,284.4
Soufflé au fromage,25020,184,12.9,3.8,12.6,Cheese soufflé,184
Tartiflette; préemballée,25137,161,6,13.5,8.9,Tartiflette (cheese fondue); prepacked,161
Gougère,25437,399,16.2,22.7,26.6,Small cheese chou-pastry puff,399
Préparation à base de fromage(s) pour fondue savoyarde; préemballée,25509,231,16.2,2.6,17.2,Savoy-style fondue cheese preparation (cheese; wine ...); prepacked,231
Fromage pané au jambon,25546,263,17.4,15.3,14.6,Cheese and ham; breaded,263
Escalope végétale ou steak à base de soja,20914,0,15.5,8.7,14.7,Soy burger or vegetable escalope,229.09999999999997
Tempeh,20917,157,16.1,7.89,4.7,Tempeh,157
Nuggets de blé (sans soja); préemballé,25225,284,12.6,22.4,14.9,Wheat-based nuggets (wo soybean),284
Nuggets soja et blé (ne convient pas aux véganes ou végétaliens); préemballé,25226,253,14.1,18.5,12.6,Soybean and wheat-based nuggets (not vegan),253
Nuggets soja et blé (convient aux véganes ou végétaliens); préemballé,25227,251,15.5,19.7,10.9,Soybean and wheat-based nuggets (vegan),251
Pané soja et blé (ne convient pas aux véganes ou végétaliens),25228,260,14.4,16.8,13.9,Schnitzel; soybean and wheat-based (not vegan),260
Bâtonnet pané soja et blé (convient aux véganes ou végétaliens); préemballée,25229,245,16.9,18.8,10,Schnitzel; soybean and wheat-based (vegan),245
Escalope panée; soja; blé et fromage; type cordon bleu; préemballée,25230,247,15.2,15.1,13.1,Schnitzel; soybean; wheat and cheese-based; cordon bleu-style,247
Raviolis au tofu; à la sauce tomate; préemballés,25231,91.7,3.13,12.5,2.7,Ravioli filled with tofu; w tomato sauce,91.7
Galette de céréales au fromage (sans soja); préemballé,25233,241,7,27.8,10.3,Cereal burger with cheese (without soybean),241
Galette de céréales aux légumes (sans soja); préemballé,25234,211,5.31,28,7.6,Cereal burger with végétables (without soybean),211
Boulette végétale au soja et/ou blé; préemballée,25589,211,17.6,7.98,10.6,Plant-based ball with wheat and/or soybean,211
Galette ou pavé aux lentilles; soja et légumes; préemballé,25591,170,9.71,16.7,5.6,Plant-based burger or steak from lentil; soybean and vegetables,170
Galette ou pavé au blé (seitan) et légumes; préemballé,25592,208,12.5,20.8,7.1,Plant-based burger or steak from wheat (seitan) and vegetables,208
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens); préemballé,25593,215,16,8.15,11,Plant-based burger or steak from wheat and soybean (vegan),215
Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens); préemballé,25594,201,10.2,13.3,10.2,Plant-based burger or steak from wheat and soybean (not vegan),201
Galette ou pavé au soja et fromage; préemballé,25595,204,16.8,6.08,12,Plant-based burger or steak from soybean and cheese,204
